cs_run,exp_id,expname,ref_exp_id,ref_expname,pair_method,station_idx,window_start,window_end,phase_rate,process_label,mean_rate_diff,positive_fraction
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Immersion Freezing (ice),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Melting (ice),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Riming (ice),6.23724480941849e-05,0.11028237905604335
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Breakup (liq),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Condensation (liq),47332.594749044685,0.9998514268295636
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Drop Collision (liq),-1.9838574163932208,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Drop Ins Collision (liq),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Homogeneous Freezing (liq),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Melting (liq),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Riming (liq),7.033398641181654,0.00014857317043639415
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Aggregation (ice),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Contact Freezing (ice),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Deposition (ice),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Immersion Freezing (ice),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Melting (ice),0.0,0.0
